Category: All categories

Month,I am legend movie: (Worldwide)
2009-01,63
2009-02,39
2009-03,46
2009-04,39
2009-05,46
2009-06,43
2009-07,37
2009-08,38
2009-09,32
2009-10,51
2009-11,40
2009-12,49
2010-01,36
2010-02,39
2010-03,28
2010-04,33
2010-05,34
2010-06,39
2010-07,32
2010-08,41
2010-09,40
2010-10,35
2010-11,27
2010-12,41
2011-01,34
2011-02,30
2011-03,24
2011-04,32
2011-05,31
2011-06,23
2011-07,32
2011-08,47
2011-09,48
2011-10,48
2011-11,42
2011-12,54
2012-01,52
2012-02,43
2012-03,33
2012-04,30
2012-05,38
2012-06,36
2012-07,25
2012-08,32
2012-09,32
2012-10,36
2012-11,36
2012-12,39
2013-01,36
2013-02,33
2013-03,29
2013-04,40
2013-05,49
2013-06,51
2013-07,52
2013-08,37
2013-09,32
2013-10,37
2013-11,38
2013-12,51
2014-01,37
2014-02,32
2014-03,43
2014-04,49
2014-05,37
2014-06,37
2014-07,37
2014-08,38
2014-09,34
2014-10,32
2014-11,36
2014-12,37
2015-01,40
2015-02,45
2015-03,35
2015-04,36
2015-05,39
2015-06,43
2015-07,48
2015-08,43
2015-09,49
2015-10,40
2015-11,38
2015-12,49
2016-01,46
2016-02,44
2016-03,39
2016-04,37
2016-05,43
2016-06,50
2016-07,38
2016-08,38
2016-09,40
2016-10,39
2016-11,46
2016-12,42
2017-01,39
2017-02,33
2017-03,44
2017-04,39
2017-05,33
2017-06,31
2017-07,34
2017-08,29
2017-09,31
2017-10,36
2017-11,38
2017-12,38
2018-01,33
2018-02,36
2018-03,32
2018-04,26
2018-05,32
2018-06,29
2018-07,34
2018-08,34
2018-09,27
2018-10,33
2018-11,32
2018-12,26
2019-01,27
2019-02,26
2019-03,28
2019-04,38
2019-05,29
2019-06,27
2019-07,23
2019-08,27
2019-09,35
2019-10,31
2019-11,26
2019-12,22
2020-01,31
2020-02,28
2020-03,100
2020-04,93
2020-05,45
2020-06,30
2020-07,33
2020-08,28
2020-09,26
2020-10,29
2020-11,27
