Category: All categories

Month,Carriers: (Worldwide)
2010-10,45
2010-11,38
2010-12,31
2011-01,28
2011-02,26
2011-03,22
2011-04,20
2011-05,23
2011-06,23
2011-07,23
2011-08,23
2011-09,21
2011-10,24
2011-11,17
2011-12,25
2012-01,20
2012-02,31
2012-03,48
2012-04,20
2012-05,21
2012-06,19
2012-07,16
2012-08,22
2012-09,15
2012-10,17
2012-11,12
2012-12,16
2013-01,16
2013-02,13
2013-03,14
2013-04,15
2013-05,14
2013-06,28
2013-07,17
2013-08,13
2013-09,11
2013-10,15
2013-11,15
2013-12,17
2014-01,17
2014-02,18
2014-03,14
2014-04,14
2014-05,15
2014-06,21
2014-07,15
2014-08,15
2014-09,13
2014-10,18
2014-11,17
2014-12,12
2015-01,14
2015-02,21
2015-03,11
2015-04,12
2015-05,12
2015-06,12
2015-07,13
2015-08,12
2015-09,14
2015-10,10
2015-11,10
2015-12,10
2016-01,11
2016-02,11
2016-03,10
2016-04,10
2016-05,9
2016-06,17
2016-07,10
2016-08,11
2016-09,8
2016-10,9
2016-11,10
2016-12,10
2017-01,10
2017-02,10
2017-03,10
2017-04,9
2017-05,9
2017-06,9
2017-07,14
2017-08,10
2017-09,9
2017-10,9
2017-11,10
2017-12,8
2018-01,9
2018-02,8
2018-03,17
2018-04,12
2018-05,13
2018-06,19
2018-07,14
2018-08,10
2018-09,8
2018-10,9
2018-11,13
2018-12,10
2019-01,15
2019-02,14
2019-03,10
2019-04,16
2019-05,8
2019-06,14
2019-07,8
2019-08,11
2019-09,7
2019-10,14
2019-11,11
2019-12,11
2020-01,15
2020-02,36
2020-03,100
2020-04,90
2020-05,31
2020-06,18
2020-07,18
2020-08,14
2020-09,13
2020-10,34
2020-11,12
