Category: All categories

Week,containment movie: (Worldwide)
2016-08-07,10
2016-08-14,4
2016-08-21,4
2016-08-28,3
2016-09-04,9
2016-09-11,4
2016-09-18,4
2016-09-25,6
2016-10-02,6
2016-10-09,4
2016-10-16,4
2016-10-23,5
2016-10-30,6
2016-11-06,5
2016-11-13,6
2016-11-20,3
2016-11-27,4
2016-12-04,6
2016-12-11,1
2016-12-18,3
2016-12-25,4
2017-01-01,3
2017-01-08,4
2017-01-15,3
2017-01-22,0
2017-01-29,4
2017-02-05,6
2017-02-12,5
2017-02-19,5
2017-02-26,5
2017-03-05,1
2017-03-12,3
2017-03-19,4
2017-03-26,3
2017-04-02,1
2017-04-09,4
2017-04-16,3
2017-04-23,3
2017-04-30,4
2017-05-07,6
2017-05-14,1
2017-05-21,3
2017-05-28,3
2017-06-04,3
2017-06-11,2
2017-06-18,2
2017-06-25,1
2017-07-02,4
2017-07-09,4
2017-07-16,3
2017-07-23,3
2017-07-30,3
2017-08-06,0
2017-08-13,1
2017-08-20,1
2017-08-27,2
2017-09-03,3
2017-09-10,3
2017-09-17,1
2017-09-24,3
2017-10-01,3
2017-10-08,5
2017-10-15,5
2017-10-22,4
2017-10-29,1
2017-11-05,4
2017-11-12,3
2017-11-19,3
2017-11-26,1
2017-12-03,2
2017-12-10,5
2017-12-17,5
2017-12-24,3
2017-12-31,2
2018-01-07,6
2018-01-14,6
2018-01-21,3
2018-01-28,2
2018-02-04,2
2018-02-11,3
2018-02-18,2
2018-02-25,4
2018-03-04,1
2018-03-11,1
2018-03-18,1
2018-03-25,2
2018-04-01,2
2018-04-08,1
2018-04-15,4
2018-04-22,3
2018-04-29,4
2018-05-06,2
2018-05-13,2
2018-05-20,3
2018-05-27,3
2018-06-03,2
2018-06-10,2
2018-06-17,2
2018-06-24,1
2018-07-01,2
2018-07-08,4
2018-07-15,1
2018-07-22,2
2018-07-29,1
2018-08-05,5
2018-08-12,4
2018-08-19,2
2018-08-26,1
2018-09-02,2
2018-09-09,2
2018-09-16,2
2018-09-23,2
2018-09-30,5
2018-10-07,1
2018-10-14,2
2018-10-21,3
2018-10-28,1
2018-11-04,5
2018-11-11,5
2018-11-18,1
2018-11-25,3
2018-12-02,2
2018-12-09,3
2018-12-16,4
2018-12-23,4
2018-12-30,3
2019-01-06,2
2019-01-13,4
2019-01-20,7
2019-01-27,1
2019-02-03,2
2019-02-10,2
2019-02-17,3
2019-02-24,7
2019-03-03,4
2019-03-10,2
2019-03-17,3
2019-03-24,5
2019-03-31,4
2019-04-07,3
2019-04-14,4
2019-04-21,5
2019-04-28,3
2019-05-05,2
2019-05-12,3
2019-05-19,3
2019-05-26,3
2019-06-02,6
2019-06-09,2
2019-06-16,2
2019-06-23,2
2019-06-30,2
2019-07-07,2
2019-07-14,1
2019-07-21,2
2019-07-28,1
2019-08-04,1
2019-08-11,4
2019-08-18,3
2019-08-25,2
2019-09-01,3
2019-09-08,2
2019-09-15,2
2019-09-22,1
2019-09-29,3
2019-10-06,3
2019-10-13,3
2019-10-20,1
2019-10-27,2
2019-11-03,2
2019-11-10,3
2019-11-17,2
2019-11-24,3
2019-12-01,4
2019-12-08,3
2019-12-15,5
2019-12-22,4
2019-12-29,2
2020-01-05,4
2020-01-12,2
2020-01-19,4
2020-01-26,5
2020-02-02,3
2020-02-09,6
2020-02-16,4
2020-02-23,6
2020-03-01,9
2020-03-08,30
2020-03-15,94
2020-03-22,100
2020-03-29,64
2020-04-05,54
2020-04-12,27
2020-04-19,24
2020-04-26,15
2020-05-03,21
2020-05-10,14
2020-05-17,12
2020-05-24,10
2020-05-31,9
2020-06-07,8
2020-06-14,4
2020-06-21,9
2020-06-28,6
2020-07-05,9
2020-07-12,6
2020-07-19,6
2020-07-26,6
2020-08-02,5
2020-08-09,5
2020-08-16,5
2020-08-23,4
2020-08-30,6
2020-09-06,4
2020-09-13,4
2020-09-20,4
2020-09-27,2
2020-10-04,5
2020-10-11,5
2020-10-18,5
2020-10-25,5
2020-11-01,8
2020-11-08,3
2020-11-15,3
2020-11-22,0
