Category: All categories

Month,Quarantine: (Worldwide)
2009-11,11
2009-12,14
2010-01,15
2010-02,10
2010-03,11
2010-04,9
2010-05,11
2010-06,9
2010-07,13
2010-08,9
2010-09,8
2010-10,9
2010-11,4
2010-12,8
2011-01,7
2011-02,5
2011-03,5
2011-04,4
2011-05,5
2011-06,20
2011-07,13
2011-08,19
2011-09,10
2011-10,12
2011-11,7
2011-12,8
2012-01,7
2012-02,10
2012-03,6
2012-04,6
2012-05,7
2012-06,7
2012-07,16
2012-08,8
2012-09,6
2012-10,7
2012-11,5
2012-12,6
2013-01,6
2013-02,5
2013-03,6
2013-04,5
2013-05,7
2013-06,6
2013-07,6
2013-08,5
2013-09,5
2013-10,6
2013-11,6
2013-12,5
2014-01,6
2014-02,5
2014-03,5
2014-04,6
2014-05,11
2014-06,8
2014-07,6
2014-08,6
2014-09,6
2014-10,7
2014-11,5
2014-12,5
2015-01,7
2015-02,6
2015-03,4
2015-04,5
2015-05,5
2015-06,5
2015-07,5
2015-08,7
2015-09,5
2015-10,7
2015-11,5
2015-12,4
2016-01,8
2016-02,4
2016-03,6
2016-04,5
2016-05,6
2016-06,6
2016-07,6
2016-08,5
2016-09,6
2016-10,6
2016-11,3
2016-12,4
2017-01,5
2017-02,5
2017-03,6
2017-04,7
2017-05,5
2017-06,5
2017-07,6
2017-08,5
2017-09,4
2017-10,5
2017-11,4
2017-12,4
2018-01,4
2018-02,4
2018-03,5
2018-04,4
2018-05,4
2018-06,6
2018-07,4
2018-08,5
2018-09,6
2018-10,4
2018-11,3
2018-12,3
2019-01,4
2019-02,5
2019-03,4
2019-04,4
2019-05,3
2019-06,5
2019-07,4
2019-08,4
2019-09,3
2019-10,4
2019-11,3
2019-12,4
2020-01,6
2020-02,12
2020-03,100
2020-04,47
2020-05,20
2020-06,12
2020-07,9
2020-08,10
2020-09,8
2020-10,9
2020-11,9
