"","I_am_legend","Month","Contagion","X28_days_later","Quarantine","Carriers"
"1",63,Jan 2009,NA,NA,NA,NA
"2",39,Feb 2009,NA,NA,NA,NA
"3",46,Mar 2009,NA,NA,NA,NA
"4",39,Apr 2009,NA,31,NA,NA
"5",46,May 2009,NA,40,NA,NA
"6",43,Jun 2009,NA,43,NA,NA
"7",37,Jul 2009,NA,33,NA,NA
"8",38,Aug 2009,NA,28,NA,NA
"9",32,Sep 2009,NA,36,NA,NA
"10",51,Oct 2009,NA,47,NA,NA
"11",40,Nov 2009,NA,54,11,NA
"12",49,Dec 2009,NA,55,14,NA
"13",36,Jan 2010,NA,36,15,NA
"14",39,Feb 2010,NA,33,10,NA
"15",28,Mar 2010,NA,49,11,NA
"16",33,Apr 2010,NA,25,9,NA
"17",34,May 2010,NA,42,11,NA
"18",39,Jun 2010,NA,36,9,NA
"19",32,Jul 2010,NA,36,13,NA
"20",41,Aug 2010,NA,39,9,NA
"21",40,Sep 2010,NA,33,8,NA
"22",35,Oct 2010,NA,35,9,45
"23",27,Nov 2010,NA,33,4,38
"24",41,Dec 2010,NA,22,8,31
"25",34,Jan 2011,NA,28,7,28
"26",30,Feb 2011,NA,33,5,26
"27",24,Mar 2011,NA,30,5,22
"28",32,Apr 2011,NA,34,4,20
"29",31,May 2011,NA,29,5,23
"30",23,Jun 2011,NA,33,20,23
"31",32,Jul 2011,NA,30,13,23
"32",47,Aug 2011,NA,27,19,23
"33",48,Sep 2011,NA,26,10,21
"34",48,Oct 2011,NA,45,12,24
"35",42,Nov 2011,NA,33,7,17
"36",54,Dec 2011,NA,21,8,25
"37",52,Jan 2012,NA,24,7,20
"38",43,Feb 2012,NA,34,10,31
"39",33,Mar 2012,NA,22,6,48
"40",30,Apr 2012,NA,24,6,20
"41",38,May 2012,NA,30,7,21
"42",36,Jun 2012,NA,42,7,19
"43",25,Jul 2012,NA,28,16,16
"44",32,Aug 2012,NA,38,8,22
"45",32,Sep 2012,NA,31,6,15
"46",36,Oct 2012,2,49,7,17
"47",36,Nov 2012,3,35,5,12
"48",39,Dec 2012,4,37,6,16
"49",36,Jan 2013,4,33,6,16
"50",33,Feb 2013,2,32,5,13
"51",29,Mar 2013,3,33,6,14
"52",40,Apr 2013,3,28,5,15
"53",49,May 2013,3,41,7,14
"54",51,Jun 2013,4,40,6,28
"55",52,Jul 2013,3,38,6,17
"56",37,Aug 2013,2,47,5,13
"57",32,Sep 2013,3,38,5,11
"58",37,Oct 2013,2,44,6,15
"59",38,Nov 2013,2,36,6,15
"60",51,Dec 2013,2,38,5,17
"61",37,Jan 2014,2,28,6,17
"62",32,Feb 2014,2,35,5,18
"63",43,Mar 2014,2,38,5,14
"64",49,Apr 2014,6,38,6,14
"65",37,May 2014,3,34,11,15
"66",37,Jun 2014,2,45,8,21
