"","plot_keywords","genre","usa_gross_income","budget","language","country","avg_vote","reviews_from_critics","date_published","year","title_and_year"
"1","avatar|future|marine|native|paraplegic","Action, Adventure, Fantasy","$ 760507625","$ 237000000","English, Spanish","USA",7.8,733,"2010-01-15","2010","Avatar (2010)"
"2","bomb|espionage|sequel|spy|terrorist","Action, Adventure, Thriller","$ 200074609","$ 245000000","English, Spanish, Italian, German, French","UK, USA, Austria, Mexico, Italy, Morocco",6.8,643,"2015-11-05","2015","Spectre (2015)"
"3","alien|american civil war|male nipple|mars|princess","Action, Adventure, Sci-Fi","$ 73078100","$ 250000000","English","USA",6.6,439,"2012-03-07","2012","John Carter (2012)"
"4","sandman|spider man|symbiote|venom|villain","Action, Adventure, Sci-Fi","$ 336530303","$ 258000000","English, French","USA",6.2,421,"2007-05-01","2007","Spider-Man 3 (2007)"
"5","artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero","Action, Adventure, Sci-Fi","$ 459005868","$ 250000000","English, Korean","USA",7.3,693,"2015-04-22","2015","Avengers: Age of Ultron (2015)"
"6","based on comic book|batman|sequel to a reboot|superhero|superman","Action, Adventure, Sci-Fi","$ 330360194","$ 250000000","English","USA",6.4,813,"2016-03-23","2016","Batman v Superman: Dawn of Justice (2016)"
"7","crystal|epic|lex luthor|lois lane|return to earth","Action, Sci-Fi","$ 200081192","$ 270000000","English, German, French","USA",6,419,"2006-09-01","2006","Superman Returns (2006)"
"8","action hero|attempted rape|bond girl|official james bond series|revenge","Action, Adventure, Thriller","$ 168368427","$ 200000000","English, Spanish, Italian, French, Swiss German, German","UK, USA",6.6,338,"2008-11-07","2008","Quantum of Solace (2008)"
"9","horse|outlaw|texas|texas ranger|train","Action, Adventure, Comedy","$ 89302115","$ 215000000","English, North American Indian","USA",6.4,467,"2013-07-03","2013","The Lone Ranger (2013)"
"10","alien invasion|assassin|battle|iron man|soldier","Action, Adventure, Sci-Fi","$ 623357910","$ 220000000","English, Russian, Hindi","USA",8,755,"2012-04-25","2012","The Avengers (2012)"
"11","alien|criminal|m.i.b.|maximum security prison|prison","Action, Adventure, Comedy","$ 179020854","$ 225000000","English, Ukrainian","USA, United Arab Emirates",6.8,460,"2012-05-23","2012","Men in Black 3 (2012)"
"12","lizard|outcast|spider|spider man|teenager","Action, Adventure, Sci-Fi","$ 262030663","$ 230000000","English","USA",6.9,626,"2012-07-04","2012","The Amazing Spider-Man (2012)"
"13","1190s|archer|england|king of england|robin hood","Action, Adventure, Drama","$ 105269730","$ 200000000","English, French, Ukrainian","USA, UK",6.6,342,"2010-05-12","2010","Robin Hood (2010)"
"14","dwarf|elf|lake town|mountain|sword and sorcery","Adventure, Fantasy","$ 258366855","$ 225000000","English","New Zealand, USA",7.8,536,"2013-12-12","2013","The Hobbit: The Desolation of Smaug (2013)"
"15","animal name in title|ape abducts a woman|gorilla|island|king kong","Action, Adventure, Drama","$ 218080025","$ 207000000","English","New Zealand, USA, Germany",7.2,224,"2005-12-16","2005","King Kong (2005)"
"16","artist|love|ship|titanic|wet","Drama, Romance","$ 659363944","$ 200000000","English, Swedish, Italian, French","USA, Mexico, Australia, Canada",7.8,331,"1998-01-16","1998","Titanic (1998)"
"17","based on comic book|knife|marvel cinematic universe|returning character killed off|superhero","Action, Adventure, Sci-Fi","$ 408084349","$ 250000000","English, German, Xhosa, Russian, Romanian, Hindi","USA",7.8,670,"2016-05-04","2016","Captain America: Civil War (2016)"
"18","box office flop|hawaii|naval|oahu hawaii|ship","Action, Adventure, Sci-Fi","$ 65422625","$ 209000000","English, Japanese","USA",5.8,396,"2012-04-13","2012","Battleship (2012)"
"19","dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor","Action, Adventure, Sci-Fi","$ 652270625","$ 150000000","English","USA",7,698,"2015-06-11","2015","Jurassic World (2015)"
"20","brawl|childhood home|computer cracker|intelligence agency|terrorist cell","Action, Adventure, Thriller","$ 304360277","$ 200000000","English, Turkish, Shanghainese, Portuguese, Japanese","UK, USA, Turkey",7.7,740,"2012-10-31","2012","Skyfall (2012)"
"21","death|doctor|scientist|super villain|tentacle","Action, Adventure, Sci-Fi","$ 373585825","$ 200000000","English, Russian, Chinese","USA",7.3,321,"2004-09-16","2004","Spider-Man 2 (2004)"
"22","armor|explosion|human bomb|missile attack|terrorist","Action, Adventure, Sci-Fi","$ 409013994","$ 200000000","English","USA",7.2,643,"2013-04-24","2013","Iron Man 3 (2013)"
"23","alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion","Adventure, Family, Fantasy","$ 334191110","$ 200000000","English","USA, UK",6.4,471,"2010-03-03","2010","Alice in Wonderland (2010)"
"24","cheating|fraternity|monster|singing in a car|university","Animation, Adventure, Comedy","$ 268492764","$ 200000000","English","USA",7.3,395,"2013-08-21","2013","Monsters University (2013)"
"25","best friend|car race|conspiracy|gadget car|spy","Animation, Adventure, Comedy","$ 191452396","$ 200000000","English, Japanese, Italian, French","USA",6.1,319,"2011-06-22","2011","Cars 2 (2011)"
"26","death row|future|machine|rescue|skynet","Action, Adventure, Sci-Fi","$ 125322469","$ 200000000","English, Italian","USA, Germany, UK, Italy",6.5,436,"2009-06-05","2009","Terminator Salvation (2009)"
"27","chaos|disease|infection|pandemic|zombie","Action, Adventure, Horror","$ 202359711","$ 190000000","English, Spanish, Hebrew, Arabic","USA, UK, Malta",7,672,"2013-06-27","2013","World War Z (2013)"
"28","giant monster|kaiju|pilot|portal|robot","Action, Adventure, Sci-Fi","$ 101802906","$ 190000000","English, Japanese, Cantonese, Mandarin","USA",6.9,609,"2013-07-11","2013","Pacific Rim (2013)"
"29","earth|obesity|plant|robot|soil","Animation, Adventure, Family","$ 223808164","$ 180000000","English","USA",8.4,269,"2008-10-17","2008","WALL·E (2008)"
"30","ark|catastrophe|geologist|president|writer","Action, Adventure, Sci-Fi","$ 166112167","$ 200000000","English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian, Spanish","USA",5.8,230,"2009-11-13","2009","2012 (2009)"
"31","charles dickens|christmas|christmas eve|ghost|scrooge","Animation, Drama, Family","$ 137855863","$ 200000000","English","USA",6.8,254,"2009-12-03","2009","A Christmas Carol (2009)"
"32","africa|capture|jungle|male objectification|tarzan","Action, Adventure, Drama","$ 126643061","$ 180000000","English, Lingala, French","UK, Canada, USA",6.2,333,"2016-07-14","2016","The Legend of Tarzan (2016)"
"33","balloon|house|promise|retirement|skeleton","Animation, Adventure, Comedy","$ 293004164","$ 175000000","English","USA",8.2,420,"2009-10-15","2009","Up (2009)"
"34","afghanistan|billionaire|inventor|playboy|u.s. air force","Action, Adventure, Sci-Fi","$ 319034126","$ 140000000","English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian","USA, Canada",7.9,540,"2008-05-01","2008","Iron Man (2008)"
"35","buddy movie|general|inventor|steampunk|utah","Action, Comedy, Sci-Fi","$ 113804681","$ 170000000","English","USA",4.9,96,"1999-09-03","1999","Wild Wild West (1999)"
"36","based on comic book|critically bashed|father daughter relationship|reference to superman|super villain","Action, Adventure, Fantasy","$ 325100054","$ 175000000","English, Japanese, Spanish","USA",6,703,"2016-08-13","2016","Suicide Squad (2016)"
